Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,AbileneChristian,26,22,4,0.846,5.1,-8.58,13,2,13,0,5,4,2017,1589,1040,720,1564,0.46,203,584,0.348,374,560,0.668,294,927,472,256,81,358,509
2,AirForce,25,5,20,0.2,-12.98,0.22,3,17,3,8,1,10,1468,1798,1000,522,1170,0.446,174,527,0.33,250,361,0.693,110,580,308,177,62,361,415
3,Akron,23,15,8,0.652,2.88,-0.93,12,6,9,1,5,5,1798,1660,930,628,1415,0.444,217,652,0.333,325,429,0.758,262,895,305,113,84,271,413
4,AlabamaA&M,15,6,9,0.4,-19.17,-15.31,4,9,5,2,1,7,950,1008,610,347,868,0.4,83,286,0.29,173,276,0.627,160,577,165,82,54,229,273
5,Alabama-Birmingham,29,22,7,0.759,5.88,-3.75,13,5,15,2,6,4,2105,1748,1160,788,1746,0.451,147,475,0.309,382,549,0.696,311,1063,308,231,121,304,441
6,AlabamaState,18,4,14,0.222,-24.67,-17.33,4,14,3,6,1,8,1156,1288,720,383,1009,0.38,111,350,0.317,279,431,0.647,205,653,175,110,43,291,343
7,Alabama,28,22,6,0.786,20.25,9.96,16,2,12,1,7,3,2234,1946,1120,776,1794,0.433,301,848,0.355,381,530,0.719,337,1123,401,245,119,394,522
8,Albany(NY),16,7,9,0.438,-3.68,-4.37,6,6,4,5,2,4,1110,1099,640,395,883,0.447,102,303,0.337,218,301,0.724,110,480,187,98,29,201,285
9,AlcornState,19,6,13,0.316,-19.96,-10.43,6,7,4,3,2,9,1256,1437,760,435,1107,0.393,113,376,0.301,273,376,0.726,206,608,177,144,30,276,394
10,American,10,4,6,0.4,-2.66,1.84,4,5,2,2,2,4,691,736,420,248,557,0.445,90,238,0.378,105,149,0.705,78,326,128,73,47,158,193
